top - 15:37:15 up 4 days,  2:05,  1 user,  load average: 2.79, 2.01, 2.02
Tasks: 365 total,   2 running, 341 sleeping,  22 stopped,   0 zombie
%Cpu(s): 33.3 us,  4.5 sy,  0.0 ni, 60.6 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7848.4 total,    359.3 free,   5789.9 used,   1699.1 buff/cache
MiB Swap:   2048.0 total,    102.1 free,   1945.9 used.    547.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  15776 art       20   0   32.3g   3660      0 S   0.0   0.0   0:00.02 chrome
   1581 art       20   0    9952   3500   1044 S   0.0   0.0   0:09.74 dbus-daemon
   1146 root      20   0  253532   3496   1608 S   0.0   0.0   0:49.85 upowerd
    847 root      20   0  241480   3428   2056 S   0.0   0.0   0:09.13 polkitd
   1941 art       20   0  341676   3424   1908 S   0.0   0.0   0:01.18 gsd-keyboard
 200794 art       20   0   11252   3396   1648 S   0.0   0.0   0:00.04 bash
   1564 art       20   0   19960   3268   1640 S   0.0   0.0   0:04.88 systemd
    883 root      20   0  394296   3252   1628 S   0.0   0.0   0:00.50 udisksd
   1579 art       39  19  585892   3224    560 S   0.0   0.0   0:03.40 tracker-miner-f
   2015 art       20   0  792280   3112   1012 S   0.0   0.0   0:01.85 evolution-alarm
   2313 root      20   0  464544   3112     72 S   0.0   0.0   0:20.07 fwupd
    817 message+  20   0   10208   3064    944 S   0.0   0.0   0:46.84 dbus-daemon
   1839 art       20   0  316596   2992     56 S   0.0   0.0   0:12.10 ibus-daemon
   1588 art       20   0  314156   2804   2144 S   0.0   0.0   0:01.65 gnome-keyring-d
 213852 art       20   0    9844   2804   1320 t   0.0   0.0   0:00.00 a.out
 214383 art       20   0    9844   2800   1324 t   0.0   0.0   0:00.00 a.out
 214683 art       20   0    9844   2800   1324 t   0.0   0.0   0:00.00 a.out
   1844 art       20   0  272752   2692    504 S   0.0   0.0   0:04.04 ibus-extension-
